baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.26,0.25,0.23,0.25,0.25
0.26,0.25,0.23,0.25,0.25
0.24,0.23,0.23,0.22,0.25
0.26,0.25,0.25,0.24,0.25
0.26,0.25,0.25,0.24,0.25
0.28,0.27,0.27,0.27,0.27
0.28,0.27,0.27,0.27,0.27
0.26,0.25,0.25,0.25,0.27
0.24,0.23,0.23,0.23,0.25
0.24,0.23,0.23,0.23,0.24
0.24,0.23,0.24,0.23,0.24
0.24,0.23,0.24,0.23,0.25
0.24,0.23,0.24,0.23,0.24
0.26,0.25,0.26,0.24,0.25
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.26,0.25,0.26,0.25,0.27
0.26,0.25,0.26,0.25,0.25
0.26,0.25,0.26,0.25,0.25
0.26,0.25,0.26,0.25,0.25
0.26,0.25,0.26,0.25,0.27
0.26,0.25,0.26,0.25,0.25
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.28,0.27,0.28,0.27,0.27
0.3,0.29,0.3,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.28,0.27,0.27,0.26,0.29
0.28,0.27,0.27,0.26,0.27
0.28,0.27,0.27,0.27,0.27
0.3,0.29,0.29,0.28,0.29
0.28,0.27,0.27,0.25,0.29
0.28,0.27,0.27,0.26,0.29
0.26,0.25,0.25,0.23,0.27
0.24,0.23,0.23,0.21,0.25
0.24,0.23,0.23,0.21,0.24
0.26,0.25,0.25,0.23,0.25
0.26,0.25,0.25,0.23,0.25
0.28,0.27,0.27,0.25,0.27
0.3,0.29,0.3,0.27,0.29
0.3,0.29,0.3,0.29,0.31
0.3,0.29,0.3,0.29,0.29
0.3,0.29,0.3,0.29,0.31
0.3,0.29,0.3,0.29,0.29
0.3,0.29,0.3,0.29,0.29
0.3,0.29,0.3,0.29,0.29
0.32,0.31,0.31,0.31,0.31
0.32,0.31,0.31,0.31,0.33
0.34,0.33,0.33,0.33,0.33
0.32,0.31,0.31,0.3,0.33
0.34,0.33,0.33,0.33,0.33
0.34,0.33,0.33,0.33,0.33
0.36,0.35,0.35,0.35,0.35
0.36,0.35,0.35,0.35,0.35
0.36,0.35,0.35,0.34,0.35
0.36,0.35,0.35,0.34,0.37
0.36,0.35,0.35,0.34,0.35
0.36,0.35,0.35,0.35,0.37
0.34,0.33,0.33,0.33,0.35
0.36,0.35,0.35,0.35,0.35
0.36,0.35,0.35,0.35,0.35
0.36,0.35,0.35,0.35,0.35
0.38,0.37,0.37,0.37,0.37
0.4,0.39,0.38,0.38,0.39
0.42,0.41,0.4,0.4,0.41
0.42,0.41,0.4,0.39,0.43
0.44,0.43,0.41,0.4,0.43
0.44,0.43,0.41,0.39,0.45
0.46,0.45,0.43,0.4,0.45
0.48,0.47,0.45,0.41,0.47
0.5,0.49,0.47,0.44,0.49
0.52,0.52,0.49,0.45,0.49
0.52,0.52,0.49,0.46,0.49
0.5,0.49,0.48,0.43,0.49
0.5,0.49,0.49,0.43,0.47
0.52,0.52,0.51,0.45,0.49
0.54,0.54,0.52,0.46,0.51
0.56,0.56,0.54,0.48,0.53
0.58,0.58,0.56,0.49,0.55
0.6,0.6,0.58,0.51,0.57
0.6,0.6,0.58,0.52,0.59
0.62,0.62,0.6,0.53,0.59
0.6,0.6,0.58,0.51,0.59
0.6,0.6,0.58,0.51,0.59
0.62,0.62,0.6,0.54,0.61
0.64,0.64,0.63,0.56,0.63
0.62,0.62,0.61,0.54,0.65
0.62,0.62,0.61,0.55,0.65
0.62,0.62,0.61,0.54,0.67
0.6,0.6,0.59,0.51,0.67
0.6,0.6,0.59,0.49,0.67
0.6,0.6,0.59,0.5,0.65
0.58,0.58,0.57,0.47,0.67
0.6,0.6,0.59,0.5,0.67
0.62,0.62,0.61,0.53,0.69
0.64,0.64,0.63,0.56,0.71
0.62,0.62,0.61,0.53,0.71
0.6,0.6,0.59,0.51,0.71
0.6,0.6,0.59,0.49,0.71
0.62,0.62,0.61,0.51,0.71
0.6,0.6,0.59,0.48,0.71
0.62,0.62,0.61,0.5,0.71
0.62,0.62,0.61,0.48,0.73
0.64,0.64,0.63,0.53,0.73
0.66,0.66,0.65,0.55,0.75
0.64,0.64,0.64,0.51,0.76
0.64,0.64,0.64,0.54,0.76
0.64,0.64,0.64,0.51,0.78
0.64,0.64,0.64,0.55,0.78
0.64,0.64,0.64,0.54,0.8
0.66,0.66,0.66,0.59,0.8
0.68,0.68,0.68,0.66,0.82
0.68,0.68,0.68,0.64,0.84
0.66,0.66,0.66,0.58,0.82
0.64,0.64,0.64,0.54,0.8
0.64,0.64,0.64,0.54,0.8
0.62,0.62,0.62,0.53,0.8
0.62,0.62,0.62,0.53,0.8
0.6,0.6,0.6,0.52,0.78
0.58,0.58,0.58,0.51,0.78
0.56,0.56,0.56,0.48,0.76
0.54,0.54,0.54,0.48,0.76
0.56,0.56,0.56,0.5,0.78
0.56,0.56,0.56,0.53,0.78
0.56,0.56,0.56,0.54,0.8
0.56,0.56,0.56,0.53,0.82
0.56,0.56,0.56,0.53,0.82
0.54,0.54,0.54,0.51,0.82
0.54,0.54,0.54,0.51,0.82
0.52,0.52,0.52,0.5,0.82
0.52,0.52,0.52,0.47,0.82
0.5,0.49,0.49,0.46,0.8
0.52,0.52,0.52,0.51,0.8
0.54,0.54,0.54,0.52,0.82
0.52,0.52,0.52,0.47,0.8
0.5,0.49,0.49,0.46,0.8
0.52,0.52,0.52,0.47,0.8
0.54,0.54,0.54,0.49,0.8
0.52,0.52,0.52,0.44,0.78
0.54,0.54,0.54,0.44,0.78
0.52,0.52,0.52,0.43,0.78
0.54,0.54,0.54,0.45,0.78
0.56,0.56,0.56,0.45,0.8
0.56,0.56,0.56,0.45,0.8
