IBDD-CC,IBDD-ACC,IBDD-MS,IBDD-DyS,real_IBDD,baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline,IKS-CC,IKS-ACC,IKS-MS,IKS-DyS,real_IKS
0.34,0.31,0.31,0.33,0.28,0.31,0.25,0.31,0.33,0.28,0.32,0.27,0.29,0.32,0.28
0.33,0.3,0.3,0.31,0.28,0.3,0.23,0.3,0.31,0.28,0.31,0.25,0.27,0.3,0.28
0.32,0.28,0.28,0.3,0.27,0.29,0.21,0.28,0.3,0.27,0.3,0.23,0.25,0.29,0.27
0.32,0.28,0.28,0.3,0.26,0.29,0.21,0.28,0.3,0.26,0.3,0.23,0.25,0.29,0.26
0.32,0.28,0.28,0.3,0.26,0.29,0.21,0.28,0.3,0.26,0.3,0.23,0.25,0.29,0.26
0.31,0.26,0.26,0.28,0.26,0.28,0.2,0.26,0.28,0.26,0.29,0.22,0.24,0.27,0.26
0.3,0.25,0.25,0.26,0.25,0.27,0.18,0.23,0.26,0.25,0.28,0.2,0.22,0.25,0.25
0.29,0.23,0.23,0.25,0.24,0.26,0.16,0.23,0.25,0.24,0.27,0.18,0.2,0.25,0.24
0.3,0.25,0.25,0.26,0.23,0.27,0.18,0.23,0.26,0.23,0.28,0.2,0.23,0.25,0.23
0.3,0.25,0.25,0.27,0.23,0.27,0.18,0.23,0.27,0.23,0.28,0.2,0.23,0.25,0.23
0.3,0.25,0.25,0.27,0.22,0.27,0.18,0.23,0.27,0.22,0.28,0.2,0.23,0.26,0.22
0.31,0.26,0.26,0.27,0.23,0.28,0.2,0.26,0.28,0.23,0.29,0.22,0.24,0.26,0.23
0.32,0.28,0.26,0.28,0.23,0.29,0.21,0.26,0.28,0.23,0.3,0.23,0.25,0.27,0.23
0.31,0.26,0.25,0.27,0.23,0.28,0.2,0.25,0.27,0.23,0.29,0.22,0.24,0.26,0.23
0.3,0.25,0.23,0.25,0.22,0.27,0.18,0.23,0.25,0.22,0.28,0.2,0.22,0.24,0.22
0.21,0.14,0.15,0.25,0.21,0.27,0.18,0.24,0.26,0.21,0.28,0.2,0.22,0.24,0.21
0.21,0.14,0.15,0.25,0.21,0.27,0.18,0.24,0.26,0.21,0.28,0.2,0.22,0.24,0.21
0.22,0.15,0.17,0.27,0.22,0.28,0.2,0.26,0.27,0.22,0.29,0.22,0.24,0.26,0.22
0.21,0.14,0.15,0.25,0.22,0.27,0.18,0.24,0.25,0.22,0.28,0.2,0.22,0.24,0.22
0.2,0.12,0.13,0.24,0.21,0.26,0.16,0.22,0.24,0.21,0.27,0.18,0.2,0.23,0.21
0.19,0.1,0.12,0.22,0.2,0.25,0.15,0.2,0.22,0.2,0.26,0.17,0.18,0.21,0.2
0.19,0.1,0.12,0.22,0.19,0.25,0.15,0.2,0.22,0.19,0.26,0.17,0.18,0.21,0.19
0.19,0.1,0.12,0.23,0.19,0.26,0.16,0.2,0.22,0.19,0.27,0.18,0.19,0.22,0.19
0.2,0.12,0.13,0.24,0.19,0.27,0.18,0.2,0.23,0.19,0.28,0.2,0.2,0.22,0.19
0.21,0.14,0.15,0.24,0.2,0.28,0.2,0.22,0.24,0.2,0.29,0.22,0.21,0.23,0.2
0.21,0.14,0.15,0.25,0.2,0.27,0.18,0.21,0.24,0.2,0.28,0.2,0.21,0.23,0.2
0.21,0.14,0.15,0.24,0.2,0.27,0.18,0.21,0.24,0.2,0.28,0.2,0.21,0.23,0.2
0.21,0.14,0.15,0.24,0.2,0.26,0.16,0.21,0.23,0.2,0.27,0.18,0.2,0.22,0.2
0.21,0.14,0.15,0.24,0.2,0.25,0.15,0.2,0.23,0.2,0.26,0.17,0.19,0.21,0.2
0.21,0.14,0.15,0.23,0.2,0.25,0.15,0.2,0.22,0.2,0.26,0.17,0.18,0.2,0.2
0.21,0.14,0.15,0.22,0.19,0.25,0.15,0.2,0.22,0.19,0.26,0.17,0.18,0.2,0.19
0.22,0.15,0.17,0.23,0.19,0.26,0.16,0.2,0.22,0.19,0.27,0.18,0.19,0.21,0.19
0.22,0.15,0.17,0.23,0.19,0.26,0.16,0.2,0.23,0.19,0.27,0.18,0.19,0.21,0.19
0.21,0.14,0.15,0.21,0.19,0.25,0.15,0.18,0.21,0.19,0.26,0.17,0.17,0.19,0.19
0.21,0.14,0.15,0.21,0.18,0.25,0.15,0.18,0.21,0.18,0.26,0.17,0.17,0.19,0.18
0.21,0.14,0.15,0.21,0.18,0.24,0.13,0.18,0.2,0.18,0.25,0.15,0.16,0.18,0.18
0.21,0.14,0.15,0.21,0.18,0.24,0.13,0.18,0.2,0.18,0.25,0.15,0.15,0.18,0.18
0.21,0.14,0.15,0.21,0.18,0.24,0.13,0.16,0.19,0.18,0.25,0.15,0.15,0.17,0.18
0.2,0.12,0.13,0.2,0.17,0.23,0.11,0.16,0.18,0.17,0.24,0.13,0.15,0.16,0.17
